날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2021-06-03,전국,18.3,15.4,20.9
2021-06-04,전국,18.8,13.8,24.5
2021-06-05,전국,20.1,13.5,26.2
2021-06-06,전국,21.6,16.5,27.2
2021-06-07,전국,21.7,16,27.5
2021-06-08,전국,22.7,17.4,28.9
2021-06-09,전국,23.7,17.8,30.2
2021-06-10,전국,22.9,18.2,27.9
2021-06-11,전국,21.7,19.1,25.7
2021-06-12,전국,23,18.8,28.2
2021-06-13,전국,22.9,18.8,28.6
2021-06-14,전국,22.3,18.6,27.2
2021-06-15,전국,21,19.4,23
2021-06-16,전국,21.5,18.6,24.9
2021-06-17,전국,20.3,17.7,23.6
2021-06-18,전국,20.7,18.3,23.9
2021-06-19,전국,22,17.2,27.8
2021-06-20,전국,22.7,16.1,29.4
2021-06-21,전국,22.4,17.5,28.6
2021-06-22,전국,20.8,16.9,25.8
2021-06-23,전국,20.3,17.5,24.3
2021-06-24,전국,21.6,17.5,26.5
2021-06-25,전국,22.6,17.7,28.3
2021-06-26,전국,22,19.2,26.4
2021-06-27,전국,23.1,18.3,28.4
2021-06-28,전국,22.9,19.8,27.8
2021-06-29,전국,22.8,18.8,28.1
2021-06-30,전국,23.1,20,27.9
2021-07-01,전국,24.4,19.1,30.3
2021-07-02,전국,24.3,20.1,29.4
2021-07-03,전국,22.2,20.2,25
2021-07-04,전국,23.2,20.7,26.3
2021-07-05,전국,22.3,19.9,25.5
2021-07-06,전국,23.4,20.6,26.4
2021-07-07,전국,24.4,22.2,27.2
2021-07-08,전국,24.6,22.1,28.5
2021-07-09,전국,24.5,22,28.7
2021-07-10,전국,24.7,21.8,29.5
2021-07-11,전국,25.3,21.9,30
2021-07-12,전국,26.7,22.8,32
2021-07-13,전국,27.4,23.4,32.1
2021-07-14,전국,27.6,23.9,32.1
2021-07-15,전국,26.9,23.2,32.4
2021-07-16,전국,26.1,22.2,32.1
2021-07-17,전국,25.6,21.7,30.3
2021-07-18,전국,26,22.1,31.1
2021-07-19,전국,26,22.7,30.8
2021-07-20,전국,26.8,23.1,31.5
2021-07-21,전국,27.4,22.4,33.1
2021-07-22,전국,27.2,22.2,32.7
2021-07-23,전국,27.5,22.6,33
2021-07-24,전국,27.7,23.3,33
2021-07-25,전국,27.6,23.1,32.6
2021-07-26,전국,27.5,22.9,32.7
2021-07-27,전국,27.6,22.4,33.3
2021-07-28,전국,27.6,22.8,33.1
2021-07-29,전국,27.6,23.1,33
2021-07-30,전국,28,23.3,33.5
2021-07-31,전국,28.3,24.5,33.5
2021-08-01,전국,26.9,24.3,31.9
2021-08-02,전국,26.3,24.1,30.3
2021-08-03,전국,27,23.6,31.5
2021-08-04,전국,28,23.9,33.1
2021-08-05,전국,28.4,23.8,33.9
2021-08-06,전국,27.6,23.4,33.9
2021-08-07,전국,27.2,22.6,33.1
2021-08-08,전국,25.3,22.7,29.4
2021-08-09,전국,26.2,21.9,31.4
2021-08-10,전국,25,21.8,29.7
2021-08-11,전국,25.5,21.6,30.8
2021-08-12,전국,25.4,21.7,30.3
2021-08-13,전국,24.9,22,28.7
2021-08-14,전국,23.5,21.2,27.1
2021-08-15,전국,24.1,19.9,29
2021-08-16,전국,24.3,20.5,28.7
2021-08-17,전국,23.8,20.2,28.3
2021-08-18,전국,23,19.8,27.8
2021-08-19,전국,23.2,19.6,28.3
2021-08-20,전국,24.4,19.8,29.5
2021-08-21,전국,23.4,21.3,25.9
2021-08-22,전국,24.6,21.4,28.6
2021-08-23,전국,22.4,20.9,24.6
2021-08-24,전국,24,21.4,27.1
2021-08-25,전국,23.7,22,26
2021-08-26,전국,24.9,21.2,29.6
2021-08-27,전국,22.6,20,26.2
2021-08-28,전국,23.6,19.8,28.6
2021-08-29,전국,23,20.4,26.9
2021-08-30,전국,23.5,20.5,27.9
2021-08-31,전국,22.9,20.1,27.1
2021-09-01,전국,22.3,20,24.9
2021-09-02,전국,21.7,19.3,24.7
2021-09-03,전국,21.7,18.4,26
2021-09-04,전국,21.5,17.2,26.6
2021-09-05,전국,21,17.6,24.8
2021-09-06,전국,20.9,18.1,24.3
2021-09-07,전국,21,18.7,23.6
2021-09-08,전국,21.9,18.5,26.8
2021-09-09,전국,21.8,17.1,27.8
2021-09-10,전국,21.8,18.7,26.3
2021-09-11,전국,22.8,18.5,29
2021-09-12,전국,22.8,17.9,28.9
2021-09-13,전국,22.6,19,26.8
2021-09-14,전국,21.6,18.3,25.2
2021-09-15,전국,22.1,18,27.1
2021-09-16,전국,21.2,16.3,25.6
2021-09-17,전국,20.4,18,23.7
2021-09-18,전국,21.1,16.5,27
2021-09-19,전국,21.2,16.7,26.8
2021-09-20,전국,21.9,16.6,26.7
2021-09-21,전국,21.9,18.9,25.7
2021-09-22,전국,21.5,17.5,26.6
2021-09-23,전국,20,15.6,25.5
2021-09-24,전국,19.6,14.4,25.7
2021-09-25,전국,20.1,16.4,23.9
2021-09-26,전국,20.5,17,25.1
2021-09-27,전국,20.5,16.9,25.1
2021-09-28,전국,20.8,18.1,24.3
2021-09-29,전국,21.1,19,24.3
2021-09-30,전국,20.7,16.7,26.5
2021-10-01,전국,20.2,15.4,27.1
2021-10-02,전국,20.3,15.7,26.8
2021-10-03,전국,21.2,15.3,28.6
2021-10-04,전국,22.6,17.1,27.8
2021-10-05,전국,22.3,18.1,28
2021-10-06,전국,20.4,17.2,24.7
2021-10-07,전국,20.3,17.1,24.7
2021-10-08,전국,20,18,22.8
2021-10-09,전국,21.7,18.6,26.5
2021-10-10,전국,22.2,17.5,27.8
2021-10-11,전국,16.2,13.9,20.5
2021-10-12,전국,16.4,14.9,18.2
2021-10-13,전국,18.3,14.8,22.8
2021-10-14,전국,19,14.8,24.8
2021-10-15,전국,18.1,15.1,22.1
2021-10-16,전국,12.7,6.6,17.1
2021-10-17,전국,6.4,1.8,12.5
2021-10-18,전국,8.9,1.1,16.7
2021-10-19,전국,10.7,6.3,16.8
2021-10-20,전국,8.9,4,15.6
2021-10-21,전국,9.4,4.2,16.1
2021-10-22,전국,9.8,4.5,16.6
2021-10-23,전국,10.1,4.1,18.5
2021-10-24,전국,10.4,4.4,18.6
2021-10-25,전국,10.7,5.1,18.7
2021-10-26,전국,11.3,4.6,19.1
2021-10-27,전국,12.7,7.5,19.7
2021-10-28,전국,11.5,4.6,19.8
2021-10-29,전국,12.3,6.6,19.3
2021-10-30,전국,11.8,7.6,17.8
2021-10-31,전국,12.4,6.4,20.2
2021-11-01,전국,12.6,8,19.1
2021-11-02,전국,10.9,6,17.1
2021-11-03,전국,11,5.6,17.8
2021-11-04,전국,11.5,6,18.9
2021-11-05,전국,11.5,5.6,19.2
2021-11-06,전국,12.7,6.6,20.3
2021-11-07,전국,14,7.3,20.7
2021-11-08,전국,10.4,6.2,16.8
2021-11-09,전국,7.2,4.9,10.2
2021-11-10,전국,6.5,3.8,9.2
2021-11-11,전국,7,3.6,11
2021-11-12,전국,5.6,2.1,9.7
2021-11-13,전국,7.1,0.8,14.2
2021-11-14,전국,9.4,3.9,16.6
2021-11-15,전국,8.7,3.5,16.1
2021-11-16,전국,8,3,15.4
2021-11-17,전국,7.3,0.9,14.4
2021-11-18,전국,9.8,3.5,16.4
2021-11-19,전국,11,5.5,17.6
2021-11-20,전국,9.7,5.3,16.7
2021-11-21,전국,10.4,5.7,15.6
2021-11-22,전국,5.7,1.3,12
2021-11-23,전국,2.5,-0.4,5.4
2021-11-24,전국,5.8,0.8,10.8
2021-11-25,전국,7.6,2.4,13.6
2021-11-26,전국,4.8,0,10.7
2021-11-27,전국,3.4,-1.5,10.7
2021-11-28,전국,4.5,-2.5,13.2
2021-11-29,전국,6.4,-0.4,14.4
2021-11-30,전국,6.4,2.1,11.1
2021-12-01,전국,1,-2.2,3.7
2021-12-02,전국,1.8,-4.1,7.1
2021-12-03,전국,4.1,0.2,8.4
2021-12-04,전국,2.2,-2.6,7.9
2021-12-05,전국,2.6,-3.1,10.2
2021-12-06,전국,5,-0.9,12.8
2021-12-07,전국,5.7,0.4,12.6
2021-12-08,전국,5.1,0.1,12.6
2021-12-09,전국,5.6,0,11.6
2021-12-10,전국,7.1,2.8,12.2
2021-12-11,전국,7,3,11.9
2021-12-12,전국,4.3,-1.2,9.2
2021-12-13,전국,-0.9,-5.2,4.3
2021-12-14,전국,2.4,-4.2,8
2021-12-15,전국,6.2,1.6,12
2021-12-16,전국,5.9,2.6,10.1
2021-12-17,전국,-1.5,-7.1,6.4
2021-12-18,전국,-3.8,-10.1,1.5
2021-12-19,전국,0.9,-3.6,5.3
2021-12-20,전국,5,-1.8,11.1
2021-12-21,전국,6,0.5,12.7
2021-12-22,전국,2.7,-2.4,10.3
2021-12-23,전국,2.2,-3.6,9.9
2021-12-24,전국,2.2,-2.6,8
2021-12-25,전국,-6.1,-9.8,-0.7
2021-12-26,전국,-8.4,-12.2,-4
2021-12-27,전국,-4.6,-11.2,0.5
2021-12-28,전국,0,-5.2,4.9
2021-12-29,전국,2.5,-2.5,7.5
2021-12-30,전국,-0.7,-3.3,2.7
2021-12-31,전국,-3.9,-7.2,0.1
